Request id,Pickup point,Driver id,Status,Request date,Request time,Drop  date,Drop time,Trip Duration (mins)
3881,Airport,3,Completed,13-07-2016,21:54:18,13-07-2016,22:51:23,57.08333333
5254,City,3,Completed,14-07-2016,21:23:03,14-07-2016,22:25:19,62.26666667
5434,City,3,Completed,15-07-2016,02:41:38,15-07-2016,03:24:43,43.08333333
5916,City,3,Completed,15-07-2016,10:00:43,15-07-2016,10:53:06,52.38333333
669,City,4,Completed,11-07-2016,13:08:00,11-07-2016,13:49:00,41
1567,Airport,4,Completed,12-07-2016,06:21:00,12-07-2016,07:10:00,49
1826,City,4,Completed,12-07-2016,09:27:00,12-07-2016,10:27:00,60
2102,City,4,Completed,12-07-2016,16:09:00,12-07-2016,17:01:00,52
2847,Airport,4,Completed,13-07-2016,05:34:20,13-07-2016,06:09:59,35.65
3722,Airport,4,Completed,13-07-2016,19:57:59,13-07-2016,20:32:04,34.08333333
4075,City,4,Completed,14-07-2016,02:17:35,14-07-2016,03:21:38,64.05
4686,City,4,Completed,14-07-2016,13:01:10,14-07-2016,13:45:28,44.3
5771,Airport,4,Completed,15-07-2016,08:30:06,15-07-2016,09:37:20,67.23333333
6106,Airport,4,Completed,15-07-2016,15:01:20,15-07-2016,15:47:31,46.18333333
312,City,5,Completed,11-07-2016,07:27:00,11-07-2016,08:31:00,64
577,Airport,5,Completed,11-07-2016,11:03:00,11-07-2016,12:01:00,58
1179,City,5,Completed,11-07-2016,20:58:00,11-07-2016,21:45:00,47
1756,Airport,5,Completed,12-07-2016,08:40:00,12-07-2016,09:23:00,43
2052,City,5,Completed,12-07-2016,14:48:00,12-07-2016,15:50:00,62
2559,City,5,Completed,12-07-2016,21:32:00,12-07-2016,22:29:00,57
3014,City,5,Completed,13-07-2016,07:28:14,13-07-2016,08:29:47,61.55
3317,City,5,Completed,13-07-2016,12:14:27,13-07-2016,12:46:38,32.18333333
4297,City,5,Completed,14-07-2016,06:43:01,14-07-2016,07:49:38,66.61666667
5857,Airport,5,Completed,15-07-2016,09:08:50,15-07-2016,10:07:07,58.28333333
6690,Airport,5,Completed,15-07-2016,22:41:41,15-07-2016,23:51:00,69.31666667
1517,Airport,6,Completed,12-07-2016,05:45:00,12-07-2016,06:28:00,43
1999,Airport,6,Completed,12-07-2016,13:02:00,12-07-2016,13:51:00,49
2960,Airport,6,Completed,13-07-2016,06:50:33,13-07-2016,07:40:35,50.03333333
3882,City,6,Completed,13-07-2016,21:53:03,13-07-2016,22:45:24,52.35
4081,Airport,6,Completed,14-07-2016,02:37:14,14-07-2016,03:30:27,53.21666667
4740,City,6,Completed,14-07-2016,14:50:07,14-07-2016,15:38:14,48.11666667
5270,City,6,Completed,14-07-2016,21:33:55,14-07-2016,22:25:43,51.8
6758,Airport,6,Completed,15-07-2016,00:03:39,15-07-2016,01:07:39,64
5741,City,6,Completed,15-07-2016,07:52:51,15-07-2016,08:38:55,46.06666667
6087,Airport,6,Completed,15-07-2016,14:28:50,15-07-2016,15:33:53,65.05
1039,City,7,Completed,11-07-2016,19:31:00,11-07-2016,20:41:00,70
1273,Airport,7,Completed,11-07-2016,22:07:00,11-07-2016,23:12:00,65
2480,City,7,Completed,12-07-2016,20:39:00,12-07-2016,21:28:00,49
4105,City,7,Completed,14-07-2016,03:39:38,14-07-2016,04:39:04,59.43333333
4509,City,7,Completed,14-07-2016,09:11:13,14-07-2016,10:17:01,65.8
4986,Airport,7,Completed,14-07-2016,18:52:32,14-07-2016,19:50:57,58.41666667
5898,City,7,Completed,15-07-2016,09:50:28,15-07-2016,10:40:39,50.18333333
6142,Airport,7,Completed,15-07-2016,15:50:15,15-07-2016,16:36:56,46.68333333
380,Airport,8,Completed,11-07-2016,08:18:00,11-07-2016,09:18:00,60
1050,Airport,8,Completed,11-07-2016,19:39:00,11-07-2016,20:30:00,51
1769,City,8,Completed,12-07-2016,08:57:00,12-07-2016,09:24:00,27
2520,City,8,Completed,12-07-2016,21:05:00,12-07-2016,22:20:00,75
3265,Airport,8,Completed,13-07-2016,10:22:07,13-07-2016,11:07:02,44.91666667
4648,City,8,Completed,14-07-2016,11:55:10,14-07-2016,12:59:34,64.4
449,Airport,9,Completed,11-07-2016,09:08:00,11-07-2016,09:52:00,44
846,Airport,9,Completed,11-07-2016,17:46:00,11-07-2016,18:52:00,66
1346,Airport,9,Completed,11-07-2016,23:39:00,12-07-2016,00:23:00,-1396
1474,Airport,9,Completed,12-07-2016,05:13:00,12-07-2016,05:56:00,43
2240,City,9,Completed,12-07-2016,18:20:00,12-07-2016,18:54:00,34
3072,Airport,9,Completed,13-07-2016,08:04:57,13-07-2016,08:36:37,31.66666667
3459,Airport,9,Completed,13-07-2016,17:03:30,13-07-2016,17:31:49,28.31666667
3774,Airport,9,Completed,13-07-2016,20:41:24,13-07-2016,21:27:29,46.08333333
4023,City,9,Completed,13-07-2016,23:58:41,14-07-2016,00:58:39,-1380.033333
4117,City,9,Completed,14-07-2016,04:21:42,14-07-2016,05:07:07,45.41666667
4880,Airport,9,Completed,14-07-2016,17:58:46,14-07-2016,19:02:42,63.93333333
5568,Airport,9,Completed,15-07-2016,05:47:49,15-07-2016,06:25:49,38
5994,Airport,9,Completed,15-07-2016,11:51:16,15-07-2016,12:32:12,40.93333333
1809,Airport,10,Completed,12-07-2016,09:13:00,12-07-2016,10:01:00,48
2064,Airport,10,Completed,12-07-2016,15:08:00,12-07-2016,16:14:00,66
3210,City,10,Completed,13-07-2016,09:47:06,13-07-2016,10:52:37,65.51666667
4350,City,10,Completed,14-07-2016,07:24:43,14-07-2016,08:22:09,57.43333333
4713,City,10,Completed,14-07-2016,13:31:24,14-07-2016,14:10:56,39.53333333
5629,Airport,10,Completed,15-07-2016,06:33:00,15-07-2016,07:19:53,46.88333333
6157,Airport,10,Completed,15-07-2016,16:32:51,15-07-2016,17:44:44,71.88333333
2030,City,11,Completed,12-07-2016,14:11:00,12-07-2016,15:02:00,51
3226,City,11,Completed,13-07-2016,10:00:17,13-07-2016,11:02:52,62.58333333
3353,City,11,Completed,13-07-2016,13:29:44,13-07-2016,14:09:00,39.26666667
4293,City,11,Completed,14-07-2016,06:42:36,14-07-2016,07:12:41,30.08333333
4936,City,11,Completed,14-07-2016,18:22:17,14-07-2016,19:14:36,52.31666667
5661,Airport,11,Completed,15-07-2016,07:08:50,15-07-2016,07:59:00,50.16666667
5778,City,11,Completed,15-07-2016,08:22:03,15-07-2016,09:13:04,51.01666667
6425,Airport,11,Completed,15-07-2016,19:46:40,15-07-2016,20:26:51,40.18333333
45,Airport,12,Completed,11-07-2016,03:17:00,11-07-2016,04:09:00,52
264,City,12,Completed,11-07-2016,06:51:00,11-07-2016,07:40:00,49
1183,City,12,Completed,11-07-2016,21:05:00,11-07-2016,21:38:00,33
1536,Airport,12,Completed,12-07-2016,05:59:00,12-07-2016,06:59:00,60
2437,City,12,Completed,12-07-2016,20:18:00,12-07-2016,21:26:00,68
2641,Airport,12,Completed,12-07-2016,22:28:00,12-07-2016,23:05:00,37
4077,Airport,12,Completed,14-07-2016,02:14:15,14-07-2016,03:13:09,58.9
4610,City,12,Completed,14-07-2016,10:35:14,14-07-2016,11:39:01,63.78333333
5066,Airport,12,Completed,14-07-2016,19:31:20,14-07-2016,20:14:03,42.71666667
5666,Airport,12,Completed,15-07-2016,07:04:55,15-07-2016,08:12:37,67.7
5923,City,12,Completed,15-07-2016,10:07:49,15-07-2016,10:50:50,43.01666667
6367,City,12,Completed,15-07-2016,19:04:46,15-07-2016,19:46:04,41.3
155,City,13,Completed,11-07-2016,05:32:00,11-07-2016,06:28:00,56
310,Airport,13,Completed,11-07-2016,07:24:00,11-07-2016,08:28:00,64
607,City,13,Completed,11-07-2016,11:51:00,11-07-2016,12:42:00,51
1012,City,13,Completed,11-07-2016,19:15:00,11-07-2016,19:57:00,42
1696,Airport,13,Completed,12-07-2016,08:01:00,12-07-2016,08:42:00,41
3076,City,13,Completed,13-07-2016,08:09:04,13-07-2016,09:12:19,63.25
4198,Airport,13,Completed,14-07-2016,05:32:14,14-07-2016,06:45:32,73.3
4627,City,13,Completed,14-07-2016,11:13:19,14-07-2016,12:00:12,46.88333333
5289,City,13,Completed,14-07-2016,21:43:24,14-07-2016,22:24:13,40.81666667
5495,Airport,13,Completed,15-07-2016,05:00:13,15-07-2016,06:02:27,62.23333333
6656,Airport,13,Completed,15-07-2016,22:08:42,15-07-2016,22:41:18,32.6
139,Airport,14,Completed,11-07-2016,05:21:00,11-07-2016,06:09:00,48
215,City,14,Completed,11-07-2016,06:15:00,11-07-2016,07:07:00,52
1816,City,14,Completed,12-07-2016,09:24:00,12-07-2016,10:07:00,43
2505,Airport,14,Completed,12-07-2016,21:03:00,12-07-2016,22:14:00,71
3346,City,14,Completed,13-07-2016,13:01:42,13-07-2016,13:55:59,54.28333333
5294,City,14,Completed,14-07-2016,21:45:50,14-07-2016,22:16:40,30.83333333
6226,Airport,14,Completed,15-07-2016,17:34:25,15-07-2016,18:33:13,58.8
6733,Airport,14,Completed,15-07-2016,23:32:44,16-07-2016,00:37:46,-1374.966667
1027,Airport,15,Completed,11-07-2016,19:18:00,11-07-2016,20:24:00,66
2675,Airport,15,Completed,12-07-2016,23:43:00,13-07-2016,00:35:12,-1387.8
3200,City,15,Completed,13-07-2016,09:39:44,13-07-2016,10:30:58,51.23333333
3865,City,15,Completed,13-07-2016,21:52:05,13-07-2016,22:21:15,29.16666667
4468,City,15,Completed,14-07-2016,08:42:46,14-07-2016,09:22:01,39.25
5163,Airport,15,Completed,14-07-2016,20:34:30,14-07-2016,21:05:18,30.8
6009,City,15,Completed,15-07-2016,12:22:35,15-07-2016,13:25:27,62.86666667
6448,Airport,15,Completed,15-07-2016,20:02:54,15-07-2016,20:40:45,37.85
591,City,16,Completed,11-07-2016,11:25:00,11-07-2016,12:31:00,66
709,City,16,Completed,11-07-2016,14:16:00,11-07-2016,15:03:00,47
1167,Airport,16,Completed,11-07-2016,20:50:00,11-07-2016,21:52:00,62
2661,Airport,16,Completed,12-07-2016,23:23:00,13-07-2016,00:27:21,-1375.65
2808,City,16,Completed,13-07-2016,05:05:16,13-07-2016,05:56:11,50.91666667
3258,Airport,16,Completed,13-07-2016,10:12:51,13-07-2016,10:45:28,32.61666667
3413,Airport,16,Completed,13-07-2016,15:32:01,13-07-2016,16:45:44,73.71666667
3939,Airport,16,Completed,13-07-2016,22:26:26,13-07-2016,22:55:54,29.46666667
4125,City,16,Completed,14-07-2016,04:37:11,14-07-2016,05:46:29,69.3
4457,City,16,Completed,14-07-2016,08:36:24,14-07-2016,09:19:20,42.93333333
4728,City,16,Completed,14-07-2016,14:04:13,14-07-2016,15:06:40,62.45
5347,Airport,16,Completed,14-07-2016,22:51:47,14-07-2016,23:53:42,61.91666667
6147,City,16,Completed,15-07-2016,16:11:02,15-07-2016,17:30:08,79.1
6496,Airport,16,Completed,15-07-2016,20:33:00,15-07-2016,21:32:49,59.81666667
634,City,17,Completed,11-07-2016,12:25:00,11-07-2016,13:06:00,41
939,Airport,17,Completed,11-07-2016,18:25:00,11-07-2016,19:26:00,61
2628,Airport,17,Completed,12-07-2016,22:10:00,12-07-2016,23:25:00,75
3021,City,17,Completed,13-07-2016,07:33:20,13-07-2016,08:26:07,52.78333333
4743,City,17,Completed,14-07-2016,14:54:16,14-07-2016,15:39:03,44.78333333
4981,City,17,Completed,14-07-2016,18:47:42,14-07-2016,19:43:44,56.03333333
5367,Airport,17,Completed,14-07-2016,23:35:34,15-07-2016,00:25:26,-1390.133333
5471,Airport,17,Completed,15-07-2016,04:48:57,15-07-2016,05:47:13,58.26666667
5988,Airport,17,Completed,15-07-2016,11:48:32,15-07-2016,12:55:02,66.5
6477,Airport,17,Completed,15-07-2016,20:21:26,15-07-2016,21:00:31,39.08333333
499,City,18,Completed,11-07-2016,09:39:00,11-07-2016,10:16:00,37
1147,Airport,18,Completed,11-07-2016,20:42:00,11-07-2016,21:18:00,36
1410,Airport,18,Completed,12-07-2016,03:14:00,12-07-2016,04:27:00,73
1804,Airport,18,Completed,12-07-2016,09:12:00,12-07-2016,09:57:00,45
1949,Airport,18,Completed,12-07-2016,11:32:00,12-07-2016,12:13:00,41
2713,City,18,Completed,13-07-2016,01:46:42,13-07-2016,02:37:08,50.43333333
2845,City,18,Completed,13-07-2016,05:28:29,13-07-2016,06:10:40,42.18333333
3943,Airport,18,Completed,13-07-2016,22:35:38,13-07-2016,23:33:20,57.7
4792,City,18,Completed,14-07-2016,16:47:15,14-07-2016,17:34:39,47.4
5207,Airport,18,Completed,14-07-2016,20:57:41,14-07-2016,21:56:21,58.66666667
5890,City,18,Completed,15-07-2016,09:43:57,15-07-2016,10:55:22,71.41666667
494,City,19,Completed,11-07-2016,09:36:00,11-07-2016,10:02:00,26
1485,City,19,Completed,12-07-2016,05:21:00,12-07-2016,06:35:00,74
2042,City,19,Completed,12-07-2016,14:30:00,12-07-2016,15:09:00,39
2561,Airport,19,Completed,12-07-2016,21:29:00,12-07-2016,22:44:00,75
3813,Airport,19,Completed,13-07-2016,21:06:57,13-07-2016,21:46:24,39.45
4260,Airport,19,Completed,14-07-2016,06:11:51,14-07-2016,06:59:46,47.91666667
4395,City,19,Completed,14-07-2016,08:00:15,14-07-2016,08:54:39,54.4
5919,City,19,Completed,15-07-2016,10:03:42,15-07-2016,10:59:27,55.75
6002,Airport,19,Completed,15-07-2016,12:04:15,15-07-2016,12:53:36,49.35
468,City,20,Completed,11-07-2016,09:20:00,11-07-2016,10:05:00,45
693,Airport,20,Completed,11-07-2016,13:51:00,11-07-2016,15:01:00,70
1178,City,20,Completed,11-07-2016,21:05:00,11-07-2016,22:06:00,61
2103,City,20,Completed,12-07-2016,16:08:00,12-07-2016,17:18:00,70
2292,Airport,20,Completed,12-07-2016,18:46:00,12-07-2016,19:23:00,37
3339,City,20,Completed,13-07-2016,12:40:58,13-07-2016,13:30:26,49.46666667
3694,City,20,Completed,13-07-2016,19:33:19,13-07-2016,20:35:08,61.81666667
4469,City,20,Completed,14-07-2016,08:45:13,14-07-2016,09:48:08,62.91666667
6432,City,20,Completed,15-07-2016,19:50:57,15-07-2016,20:30:05,39.13333333
1895,City,21,Completed,12-07-2016,10:20:00,12-07-2016,10:52:00,32
1981,Airport,21,Completed,12-07-2016,12:23:00,12-07-2016,12:56:00,33
3744,Airport,21,Completed,13-07-2016,20:28:11,13-07-2016,21:22:42,54.51666667
4433,Airport,21,Completed,14-07-2016,08:26:32,14-07-2016,09:12:02,45.5
6039,Airport,21,Completed,15-07-2016,13:11:04,15-07-2016,13:38:01,26.95
6543,City,21,Completed,15-07-2016,20:54:20,15-07-2016,22:12:36,78.26666667
110,City,22,Completed,11-07-2016,05:05:00,11-07-2016,06:06:00,61
362,City,22,Completed,11-07-2016,08:01:00,11-07-2016,09:18:00,77
666,Airport,22,Completed,11-07-2016,13:02:00,11-07-2016,13:45:00,43
926,City,22,Completed,11-07-2016,18:28:00,11-07-2016,19:34:00,66
1180,Airport,22,Completed,11-07-2016,21:01:00,11-07-2016,22:14:00,73
1900,City,22,Completed,12-07-2016,10:32:00,12-07-2016,11:42:00,70
2506,City,22,Completed,12-07-2016,21:01:00,12-07-2016,21:38:00,37
3064,City,22,Completed,13-07-2016,08:02:03,13-07-2016,08:58:46,56.71666667
3327,Airport,22,Completed,13-07-2016,12:24:41,13-07-2016,13:23:39,58.96666667
3601,City,22,Completed,13-07-2016,18:39:00,13-07-2016,19:29:07,50.11666667
4768,Airport,22,Completed,14-07-2016,15:39:24,14-07-2016,16:49:03,69.65
5142,City,22,Completed,14-07-2016,20:17:51,14-07-2016,20:48:58,31.11666667
5366,Airport,22,Completed,14-07-2016,23:27:22,15-07-2016,00:19:50,-1387.533333
5575,City,22,Completed,15-07-2016,05:53:55,15-07-2016,06:50:02,56.11666667
5902,City,22,Completed,15-07-2016,09:52:57,15-07-2016,10:37:05,44.13333333
6694,Airport,22,Completed,15-07-2016,22:45:44,15-07-2016,23:17:53,32.15
523,Airport,23,Completed,11-07-2016,09:48:00,11-07-2016,10:37:00,49
747,City,23,Completed,11-07-2016,15:53:00,11-07-2016,16:43:00,50
1371,Airport,23,Completed,12-07-2016,00:22:00,12-07-2016,01:33:00,71
1553,City,23,Completed,12-07-2016,06:09:00,12-07-2016,07:09:00,60
1692,Airport,23,Completed,12-07-2016,07:52:00,12-07-2016,09:01:00,69
2114,City,23,Completed,12-07-2016,16:36:00,12-07-2016,17:21:00,45
2742,City,23,Completed,13-07-2016,03:07:37,13-07-2016,03:51:35,43.96666667
4273,City,23,Completed,14-07-2016,06:17:01,14-07-2016,07:02:28,45.45
4668,City,23,Completed,14-07-2016,12:25:02,14-07-2016,13:34:58,69.93333333
5425,City,23,Completed,15-07-2016,02:23:56,15-07-2016,03:08:35,44.65
5488,City,23,Completed,15-07-2016,04:53:42,15-07-2016,06:00:16,66.56666667
5781,City,23,Completed,15-07-2016,08:35:47,15-07-2016,09:42:27,66.66666667
5966,Airport,23,Completed,15-07-2016,10:54:27,15-07-2016,11:58:44,64.28333333
6122,City,23,Completed,15-07-2016,15:26:06,15-07-2016,16:29:40,63.56666667
357,Airport,24,Completed,11-07-2016,08:00:00,11-07-2016,09:08:00,68
1068,City,24,Completed,11-07-2016,19:52:00,11-07-2016,20:48:00,56
2689,Airport,24,Completed,13-07-2016,00:34:03,13-07-2016,01:49:08,75.08333333
2791,City,24,Completed,13-07-2016,04:56:20,13-07-2016,05:33:20,37
3321,City,24,Completed,13-07-2016,12:23:02,13-07-2016,13:25:14,62.2
3423,Airport,24,Completed,13-07-2016,15:52:07,13-07-2016,16:50:46,58.65
3761,Airport,24,Completed,13-07-2016,20:35:24,13-07-2016,21:39:02,63.63333333
4140,City,24,Completed,14-07-2016,04:48:09,14-07-2016,06:05:01,76.86666667
4656,City,24,Completed,14-07-2016,12:06:27,14-07-2016,12:49:14,42.78333333
4931,Airport,24,Completed,14-07-2016,18:21:52,14-07-2016,18:54:03,32.18333333
5268,City,24,Completed,14-07-2016,21:29:35,14-07-2016,22:30:11,60.6
5811,City,24,Completed,15-07-2016,08:46:30,15-07-2016,09:26:33,40.05
6139,Airport,24,Completed,15-07-2016,15:45:16,15-07-2016,16:40:41,55.41666667
6333,Airport,24,Completed,15-07-2016,18:41:22,15-07-2016,19:53:29,72.11666667
773,City,25,Completed,11-07-2016,16:23:00,11-07-2016,17:21:00,58
1123,City,25,Completed,11-07-2016,20:20:00,11-07-2016,21:18:00,58
2667,Airport,25,Completed,12-07-2016,23:35:00,13-07-2016,00:40:52,-1374.133333
2833,City,25,Completed,13-07-2016,05:27:26,13-07-2016,06:19:18,51.86666667
3396,City,25,Completed,13-07-2016,14:59:08,13-07-2016,15:57:24,58.26666667
3590,City,25,Completed,13-07-2016,18:31:29,13-07-2016,19:31:56,60.45
3762,City,25,Completed,13-07-2016,20:38:10,13-07-2016,21:21:24,43.23333333
4566,City,25,Completed,14-07-2016,09:48:56,14-07-2016,10:22:52,33.93333333
4862,City,25,Completed,14-07-2016,17:37:44,14-07-2016,18:41:40,63.93333333
5564,Airport,25,Completed,15-07-2016,05:41:11,15-07-2016,06:53:22,72.18333333
6187,City,25,Completed,15-07-2016,17:11:08,15-07-2016,18:08:11,57.05
6642,City,25,Completed,15-07-2016,22:07:14,15-07-2016,22:54:02,46.8
322,City,26,Completed,11-07-2016,07:31:00,11-07-2016,08:10:00,39
793,City,26,Completed,11-07-2016,17:04:00,11-07-2016,18:06:00,62
898,Airport,26,Completed,11-07-2016,18:14:00,11-07-2016,19:09:00,55
1258,City,26,Completed,11-07-2016,21:51:00,11-07-2016,23:00:00,69
2832,City,26,Completed,13-07-2016,05:20:16,13-07-2016,06:14:07,53.85
3139,City,26,Completed,13-07-2016,08:54:04,13-07-2016,09:22:42,28.63333333
3438,City,26,Completed,13-07-2016,16:12:53,13-07-2016,17:13:44,60.85
3966,Airport,26,Completed,13-07-2016,22:50:42,13-07-2016,23:27:43,37.01666667
6401,Airport,26,Completed,15-07-2016,19:33:00,15-07-2016,20:16:57,43.95
204,City,27,Completed,11-07-2016,06:04:00,11-07-2016,06:44:00,40
632,Airport,27,Completed,11-07-2016,12:20:00,11-07-2016,13:10:00,50
763,City,27,Completed,11-07-2016,16:19:00,11-07-2016,17:25:00,66
1786,Airport,27,Completed,12-07-2016,09:03:00,12-07-2016,09:58:00,55
1968,City,27,Completed,12-07-2016,12:10:00,12-07-2016,12:49:00,39
2088,Airport,27,Completed,12-07-2016,15:51:00,12-07-2016,17:02:00,71
2473,Airport,27,Completed,12-07-2016,20:43:00,12-07-2016,21:20:00,37
2869,Airport,27,Completed,13-07-2016,05:50:09,13-07-2016,06:27:07,36.96666667
3742,Airport,27,Completed,13-07-2016,20:24:23,13-07-2016,20:48:05,23.7
4440,Airport,27,Completed,14-07-2016,08:26:29,14-07-2016,09:00:36,34.11666667
5234,City,27,Completed,14-07-2016,21:09:47,14-07-2016,21:52:37,42.83333333
6354,Airport,27,Completed,15-07-2016,18:59:01,15-07-2016,19:35:10,36.15
6638,City,27,Completed,15-07-2016,21:59:10,15-07-2016,23:13:18,74.13333333
84,City,28,Completed,11-07-2016,04:50:00,11-07-2016,05:26:00,36
1199,City,28,Completed,11-07-2016,21:17:00,11-07-2016,21:53:00,36
1676,Airport,28,Completed,12-07-2016,07:44:00,12-07-2016,08:40:00,56
2774,City,28,Completed,13-07-2016,04:33:38,13-07-2016,05:13:54,40.26666667
3220,Airport,28,Completed,13-07-2016,09:51:41,13-07-2016,10:24:39,32.96666667
3718,Airport,28,Completed,13-07-2016,19:56:20,13-07-2016,20:47:17,50.95
4904,Airport,28,Completed,14-07-2016,18:02:23,14-07-2016,18:58:49,56.43333333
6527,Airport,28,Completed,15-07-2016,20:54:01,15-07-2016,21:53:29,59.46666667
6710,City,28,Completed,15-07-2016,23:02:36,16-07-2016,00:12:12,-1370.4
1584,Airport,29,Completed,12-07-2016,06:26:00,12-07-2016,07:18:00,52
1966,Airport,29,Completed,12-07-2016,12:05:00,12-07-2016,13:12:00,67
2827,City,29,Completed,13-07-2016,05:18:31,13-07-2016,06:18:22,59.85
2945,Airport,29,Completed,13-07-2016,06:34:13,13-07-2016,07:28:05,53.86666667
3365,City,29,Completed,13-07-2016,13:47:14,13-07-2016,14:51:51,64.61666667
3548,Airport,29,Completed,13-07-2016,18:07:42,13-07-2016,19:12:22,64.66666667
3753,City,29,Completed,13-07-2016,20:30:08,13-07-2016,21:42:32,72.4
4569,Airport,29,Completed,14-07-2016,09:48:17,14-07-2016,10:49:39,61.36666667
6309,Airport,29,Completed,15-07-2016,18:29:54,15-07-2016,19:42:21,72.45
6437,City,29,Completed,15-07-2016,19:53:52,15-07-2016,20:26:32,32.66666667
517,Airport,30,Completed,11-07-2016,09:45:00,11-07-2016,10:24:00,39
1406,Airport,30,Completed,12-07-2016,03:02:00,12-07-2016,03:55:00,53
1643,Airport,30,Completed,12-07-2016,07:18:00,12-07-2016,08:10:00,52
2108,Airport,30,Completed,12-07-2016,16:14:00,12-07-2016,16:48:00,34
2647,City,30,Completed,12-07-2016,22:46:00,12-07-2016,23:18:00,32
3129,City,30,Completed,13-07-2016,08:41:49,13-07-2016,09:41:42,59.88333333
3738,Airport,30,Completed,13-07-2016,20:15:54,13-07-2016,20:55:01,39.11666667
4422,Airport,30,Completed,14-07-2016,08:13:15,14-07-2016,09:13:10,59.91666667
4790,City,30,Completed,14-07-2016,16:43:53,14-07-2016,17:56:08,72.25
5496,City,30,Completed,15-07-2016,04:59:58,15-07-2016,05:34:09,34.18333333
6484,Airport,30,Completed,15-07-2016,20:19:45,15-07-2016,21:01:21,41.6
6731,Airport,30,Completed,15-07-2016,23:23:55,16-07-2016,00:11:55,-1392
629,Airport,31,Completed,11-07-2016,12:14:00,11-07-2016,13:00:00,46
745,Airport,31,Completed,11-07-2016,15:48:00,11-07-2016,16:45:00,57
1064,City,31,Completed,11-07-2016,19:53:00,11-07-2016,20:31:00,38
1886,Airport,31,Completed,12-07-2016,10:10:00,12-07-2016,10:35:00,25
5608,Airport,31,Completed,15-07-2016,06:18:36,15-07-2016,07:07:34,48.96666667
5877,City,31,Completed,15-07-2016,09:37:21,15-07-2016,10:08:03,30.7
6100,Airport,31,Completed,15-07-2016,14:44:32,15-07-2016,15:41:12,56.66666667
6659,Airport,31,Completed,15-07-2016,22:15:45,15-07-2016,23:07:50,52.08333333
2162,Airport,32,Completed,12-07-2016,17:34:00,12-07-2016,18:33:00,59
3294,Airport,32,Completed,13-07-2016,11:23:36,13-07-2016,12:14:06,50.5
3686,City,32,Completed,13-07-2016,19:33:18,13-07-2016,20:34:21,61.05
4784,City,32,Completed,14-07-2016,16:41:52,14-07-2016,17:15:01,33.15
5896,City,32,Completed,15-07-2016,09:47:11,15-07-2016,10:32:41,45.5
6190,City,32,Completed,15-07-2016,17:11:33,15-07-2016,17:55:50,44.28333333
6551,City,32,Completed,15-07-2016,21:03:02,15-07-2016,22:17:22,74.33333333
145,City,33,Completed,11-07-2016,05:32:00,11-07-2016,06:37:00,65
735,City,33,Completed,11-07-2016,15:27:00,11-07-2016,16:32:00,65
918,Airport,33,Completed,11-07-2016,18:22:00,11-07-2016,19:04:00,42
1478,City,33,Completed,12-07-2016,05:16:00,12-07-2016,06:13:00,57
1957,City,33,Completed,12-07-2016,11:45:00,12-07-2016,12:55:00,70
3097,City,33,Completed,13-07-2016,08:15:34,13-07-2016,09:12:57,57.38333333
3981,Airport,33,Completed,13-07-2016,23:13:54,13-07-2016,23:38:37,24.71666667
4175,City,33,Completed,14-07-2016,05:11:15,14-07-2016,06:15:24,64.15
